run_number,ifrs_17_group,underlying_group,variable,run_step,currency,2020-09-30,2020-10-31,2020-11-30,2020-12-31
201.0,BAF_BAH_Mort_Burial_2020_Remaining,,CF_BEL_B_LIC_BOP,LIC_OPENING_CURRENT,,0,0,0,0
201.0,BAF_BAH_Mort_Burial_2020_Remaining,,CF_BEL_B_LIC_EOP,LIC_OPENING_CURRENT,,0,0,0,0
201.0,BAF_BAH_Mort_Burial_2020_Remaining,,CF_BEL_B_LIC_MOP,LIC_OPENING_CURRENT,,0,0,0,0
201.0,BAF_BAH_Mort_Burial_2020_Remaining,,CF_BEL_B_VAR_LIC_BOP,LIC_OPENING_CURRENT,,0,0,0,0
201.0,BAF_BAH_Mort_Burial_2020_Remaining,,CF_BEL_B_VAR_LIC_EOP,LIC_OPENING_CURRENT,,0,0,0,0
201.0,BAF_BAH_Mort_Burial_2020_Remaining,,CF_BEL_B_VAR_LIC_MOP,LIC_OPENING_CURRENT,,0,0,0,0
201.0,BAF_BAH_Mort_Burial_2020_Remaining,,CF_BEL_CUSTOM_OTHER_FUT_LIC_BOP,LIC_OPENING_CURRENT,,0,0,0,0
201.0,BAF_BAH_Mort_Burial_2020_Remaining,,CF_BEL_CUSTOM_OTHER_FUT_LIC_EOP,LIC_OPENING_CURRENT,,0,0,0,0
201.0,BAF_BAH_Mort_Burial_2020_Remaining,,CF_BEL_CUSTOM_OTHER_FUT_LIC_MOP,LIC_OPENING_CURRENT,,0,0,0,0
201.0,BAF_BAH_Mort_Burial_2020_Remaining,,CF_BEL_CUSTOM_OTHER_LIC_BOP,LIC_OPENING_CURRENT,,0,0,0,0
201.0,BAF_BAH_Mort_Burial_2020_Remaining,,CF_BEL_CUSTOM_OTHER_LIC_EOP,LIC_OPENING_CURRENT,,0,0,0,0
201.0,BAF_BAH_Mort_Burial_2020_Remaining,,CF_BEL_CUSTOM_OTHER_LIC_MOP,LIC_OPENING_CURRENT,,0,0,0,0
201.0,BAF_BAH_Mort_Burial_2020_Remaining,,CF_BEL_CUSTOM_OTHER_VAR_LIC_BOP,LIC_OPENING_CURRENT,,0,0,0,0
201.0,BAF_BAH_Mort_Burial_2020_Remaining,,CF_BEL_CUSTOM_OTHER_VAR_LIC_EOP,LIC_OPENING_CURRENT,,0,0,0,0
201.0,BAF_BAH_Mort_Burial_2020_Remaining,,CF_BEL_CUSTOM_OTHER_VAR_LIC_MOP,LIC_OPENING_CURRENT,,0,0,0,0
201.0,BAF_BAH_Mort_Burial_2020_Remaining,,CF_BEL_E_FUT_LIC_BOP,LIC_OPENING_CURRENT,,0,0,0,0
201.0,BAF_BAH_Mort_Burial_2020_Remaining,,CF_BEL_E_FUT_LIC_EOP,LIC_OPENING_CURRENT,,0,0,0,0
201.0,BAF_BAH_Mort_Burial_2020_Remaining,,CF_BEL_E_FUT_LIC_MOP,LIC_OPENING_CURRENT,,0,0,0,0
201.0,BAF_BAH_Mort_Burial_2020_Remaining,,CF_BEL_E_LIC_BOP,LIC_OPENING_CURRENT,,0,0,0,0
201.0,BAF_BAH_Mort_Burial_2020_Remaining,,CF_BEL_E_LIC_EOP,LIC_OPENING_CURRENT,,0,0,0,0
201.0,BAF_BAH_Mort_Burial_2020_Remaining,,CF_BEL_E_LIC_MOP,LIC_OPENING_CURRENT,,0,0,0,0
201.0,BAF_BAH_Mort_Burial_2020_Remaining,,CF_BEL_E_VAR_LIC_BOP,LIC_OPENING_CURRENT,,0,0,0,0
201.0,BAF_BAH_Mort_Burial_2020_Remaining,,CF_BEL_E_VAR_LIC_EOP,LIC_OPENING_CURRENT,,0,0,0,0
201.0,BAF_BAH_Mort_Burial_2020_Remaining,,CF_BEL_E_VAR_LIC_MOP,LIC_OPENING_CURRENT,,0,0,0,0
201.0,BAF_BAH_Mort_Burial_2020_Remaining,,CF_BEL_IC_LIC_BOP,LIC_OPENING_CURRENT,,0,0,0,0
201.0,BAF_BAH_Mort_Burial_2020_Remaining,,CF_BEL_IC_LIC_EOP,LIC_OPENING_CURRENT,,0,0,0,0
201.0,BAF_BAH_Mort_Burial_2020_Remaining,,CF_BEL_IC_LIC_MOP,LIC_OPENING_CURRENT,,0,0,0,0
201.0,BAF_BAH_Mort_Burial_2020_Remaining,,CF_RA_LIC_BOP,LIC_OPENING_CURRENT,,0,0,0,0
201.0,BAF_BAH_Mort_Burial_2020_Remaining,,CF_RA_LIC_EOP,LIC_OPENING_CURRENT,,0,0,0,0
201.0,BAF_BAH_Mort_Burial_2020_Remaining,,CF_RA_LIC_MOP,LIC_OPENING_CURRENT,,0,0,0,0
201.0,BAF_BAH_Mort_Burial_2020_Remaining,,LIC,LIC_OPENING_CURRENT,,-307738,0,0,0
201.0,BAF_BAH_Mort_Burial_2020_Remaining,,RA_LIC,LIC_OPENING_CURRENT,,-40139,0,0,0
201.0,BAF_BAH_Mort_Burial_2020_Remaining,,RA_LIC_FX_IMPACT,LIC_OPENING_CURRENT,,0,0,0,0
203.0,,,BEL_B_LIC,LIC_CHANGE_IN_DR_SOP,,0,0,0,0
203.0,,,BEL_B_VAR_LIC,LIC_CHANGE_IN_DR_SOP,,0,0,0,0
203.0,,,BEL_B_VAR_LIC_FX_IMPACT,LIC_CHANGE_IN_DR_SOP,,0,0,0,0
203.0,,,BEL_CUSTOM_OTHER_FUT_LIC,LIC_CHANGE_IN_DR_SOP,,0,0,0,0
203.0,,,BEL_CUSTOM_OTHER_FUT_LIC_FX_IMPACT,LIC_CHANGE_IN_DR_SOP,,0,0,0,0
203.0,,,BEL_CUSTOM_OTHER_LIC,LIC_CHANGE_IN_DR_SOP,,0,0,0,0
203.0,,,BEL_CUSTOM_OTHER_LIC_FX_IMPACT,LIC_CHANGE_IN_DR_SOP,,0,0,0,0
203.0,,,BEL_CUSTOM_OTHER_VAR_LIC,LIC_CHANGE_IN_DR_SOP,,0,0,0,0
203.0,,,BEL_CUSTOM_OTHER_VAR_LIC_FX_IMPACT,LIC_CHANGE_IN_DR_SOP,,0,0,0,0
203.0,,,BEL_E_FUT_LIC,LIC_CHANGE_IN_DR_SOP,,0,0,0,0
203.0,,,BEL_E_FUT_LIC_FX_IMPACT,LIC_CHANGE_IN_DR_SOP,,0,0,0,0
203.0,,,BEL_E_LIC,LIC_CHANGE_IN_DR_SOP,,0,0,0,0
203.0,,,BEL_E_VAR_LIC,LIC_CHANGE_IN_DR_SOP,,0,0,0,0
203.0,,,BEL_E_VAR_LIC_FX_IMPACT,LIC_CHANGE_IN_DR_SOP,,0,0,0,0
203.0,,,BEL_IC_LIC,LIC_CHANGE_IN_DR_SOP,,0,0,0,0
203.0,,,BEL_LIC,LIC_CHANGE_IN_DR_SOP,,0,0,0,0
203.0,,,CF_BEL_B_LIC_BOP,LIC_CHANGE_IN_DR_SOP,,0,0,0,0
203.0,,,CF_BEL_B_LIC_EOP,LIC_CHANGE_IN_DR_SOP,,0,0,0,0
203.0,,,CF_BEL_B_LIC_MOP,LIC_CHANGE_IN_DR_SOP,,0,0,0,0
203.0,,,CF_BEL_B_VAR_LIC_BOP,LIC_CHANGE_IN_DR_SOP,,0,0,0,0
203.0,,,CF_BEL_B_VAR_LIC_EOP,LIC_CHANGE_IN_DR_SOP,,0,0,0,0
203.0,,,CF_BEL_B_VAR_LIC_MOP,LIC_CHANGE_IN_DR_SOP,,0,0,0,0
203.0,,,CF_BEL_CUSTOM_OTHER_FUT_LIC_BOP,LIC_CHANGE_IN_DR_SOP,,0,0,0,0
203.0,,,CF_BEL_CUSTOM_OTHER_FUT_LIC_EOP,LIC_CHANGE_IN_DR_SOP,,0,0,0,0
203.0,,,CF_BEL_CUSTOM_OTHER_FUT_LIC_MOP,LIC_CHANGE_IN_DR_SOP,,0,0,0,0
203.0,,,CF_BEL_CUSTOM_OTHER_LIC_BOP,LIC_CHANGE_IN_DR_SOP,,0,0,0,0
203.0,,,CF_BEL_CUSTOM_OTHER_LIC_EOP,LIC_CHANGE_IN_DR_SOP,,0,0,0,0
